,Teks,label
1030,Sekalian aku mau nanya alur dari rawat inap ke lab sama radiologi. Kalau obat kan ga ada yang ngolah.,0
1031,sekalian liburannya ke malaysia juga wkwk,0
1032,"Selain dicetak, rundown jg dkrm ke email di nama1 nuhun. Dtgu d prodi sampai 4.30. Dipercepat 30 menit.",0
1033,"Selain itu saya punya ide untuk menggabungkan beberapa device HP sebagai sumber sensor, misal untuk deteksi longsor atau gempa ini terkait trend sekarang: iOT (internet of thing), silahkan bagi yg tertarik :)",0
1034,"Selamat pagi pak, untuk data table yg dibutuhkan sudah saya email. Apakah email saya msk Pak?",0
1035,"Selamat siang, mau reservasi bandros perorangan apakah bisa?",0
1036,"Selamat sore Pak, besok kami bisa ke kantor jam brp Pak?",0
1037,"Selamat sore teh, ini dg nama1 lg nyari kosan perbulan. Apakah ada yg kosong teh disana? Terima kasih.",0
1038,Selamat TCASH TAP Anda telah aktif dengan SN: 100011398478 tgl. 21/08/2016 12:36:10 Info *800#,0
1039,Selamat ulang tahun semoga panjang umur dan sehat selalu,0
1040,"Selamat utk teman2 yg wisuda, semoga berkah ilmunya dan dilancarkan urusan kedepannya.. sukses terus buat kt semua :)",0
1041,Selamat nama1. Semoga selalu menempuh hidup yang bahagia dan selalu menyenangkan,0
1042,"Selamatkan diri kalian guys, karna ""lulus bareng"" hanyalah kata hiburan semata",0
1043,"Selamatkan diri kalian guys, karna ""nikah bareng"" hanyalah kebaperan sesaat #NaonAriDyah",0
1044,"selisihnya brp? sesuai janji saya sbelumhya, bagi yg nilainya diperbatasan saya akan cek kehadiran. Tapi kalau jauh ya  gak bisa :)  nanti gak ada habisnya turun terus.",0
1045,"Semangat yang ibu gita, ibu putri dan bapak adison esok hari. Semoga diberikan yang terbaik. Aamiin",0
1046,Semangat!! Aku jg nanti bunganya aku titipin ya. Eh mau bunga atau makanan wid?,0
1047,"Semau-maunya kita ama orang, gak bakal jadi kalau gak jodoh. Segeleh-gelehnya pasti bakal nikah kalopun jodoh",0
1048,Semoga Allah bersama kita Semua.,0
1049,semoga cepat sembuh pak.,0
1050,"semua udah masuk kok, cuma database sindo memang nggak real time.",0
1051,Senin mah pelepasan doang kan? Aku brngktnya selasa apa egi senin berangktnya? ,0
1052,Sep aku udh pull tp kenapa direpository git ga msk ke aku ya,0
1053,Sepupu ane baru masuk kuliah,0
1054,Setting ponsel akan segera dikirimkan. Masukkan PIN: 1111 jika diminta. Terimakasih,0
1055,Setting telah dikirimkan ke ponsel Anda. Ikuti petunjuk yang diberikan untuk menyelesaikan setting internet dan kirim fot/MMS,0
